city_name,date,total_orders,roc_orders,wg_orders,roc_fee,wg_fee
city_704,2022-03-01,1,,,,
city_045,2022-03-01,1,,1,,100
city_047,2022-03-01,3,1,,50,
city_078,2022-03-01,6,2,1,50,100
city_088,2022-03-01,2,,,,
city_120,2022-03-01,1,,,,
city_121,2022-03-01,3,1,,50,
city_122,2022-03-01,1,,,,
city_125,2022-03-01,7,1,,50,
city_127,2022-03-01,1,,,,
city_138,2022-03-01,2,,,,
city_144,2022-03-01,1,,,,
city_160,2022-03-01,3,,1,,100
city_173,2022-03-01,3,1,,50,
city_176,2022-03-01,2,1,,50,
city_186,2022-03-01,1,,,,
city_188,2022-03-01,1,,,,
city_252,2022-03-01,1,,,,
city_290,2022-03-01,2,1,,50,
city_306,2022-03-01,1,,,,
city_341,2022-03-01,3,1,,50,
city_374,2022-03-01,12,1,1,50,100
city_375,2022-03-01,1,1,,50,
"Miami, FL",2022-03-01,3,,,,
city_410,2022-03-01,1,,,,
city_411,2022-03-01,1,,,,
city_444,2022-03-01,4,1,,50,
city_447,2022-03-01,21,2,,50,
city_467,2022-03-01,1,,,,
city_494,2022-03-01,8,,,,
city_495,2022-03-01,4,,,,
city_499,2022-03-01,2,,,,
city_509,2022-03-01,1,,,,
city_510,2022-03-01,4,,,,
city_515,2022-03-01,1,,1,,100
city_522,2022-03-01,1,,,,
city_532,2022-03-01,2,,,,
city_557,2022-03-01,1,,,,
city_558,2022-03-01,1,,,,
city_559,2022-03-01,3,,,,
"San Francisco, CA",2022-03-01,8,,2,,100
city_561,2022-03-01,1,,,,
city_566,2022-03-01,1,,,,
city_569,2022-03-01,1,,,,
city_574,2022-03-01,5,1,1,50,100
city_596,2022-03-01,1,,,,
city_607,2022-03-01,1,,1,,100
city_639,2022-03-01,1,,,,
city_654,2022-03-01,1,,,,
city_673,2022-03-01,7,,,,
city_679,2022-03-01,1,,,,
city_704,2022-03-02,2,,,,
city_009,2022-03-02,1,,1,,100
city_036,2022-03-02,3,,1,,100
